Site	Loc1	Loc2	P.Value	SE	switches
MurrayLake-23	Bwf-2	Cisco-17	0.800420	0.007032	17159
MurrayLake-23	C2-157	Cisco-17	0.930050	0.007742	5483
MurrayLake-23	Cocl23	Cisco-17	0.949190	0.009961	4067
MurrayLake-23	Cisco-59	Cisco-17	0.316560	0.022551	3915
MurrayLake-23	Cisco-90	Cisco-17	0.500330	0.006487	15297
MurrayLake-23	Cisco-12	Cisco-17	0.280460	0.008177	25921
MurrayLake-23	Cisco-18	Cisco-17	0.215520	0.031963	1770
MurrayLake-23	Cisco-20	Cisco-17	0.605060	0.036921	1912
MurrayLake-23	Cisco-18	Cisco-17	0.036010	0.011049	3333
MurrayLake-23	Sfo8-Low	Cisco-10	0.527650	0.015049	8455
MurrayLake-23	Sfo8-Upp	Cisco-10	0.520600	0.042814	1136
MurrayLake-23	Bwf-1	Cisco-10	0.916860	0.018537	1779
MurrayLake-23	Bwf-2	Cisco-10	0.173900	0.012316	9562
MurrayLake-23	C2-157	Cisco-10	0.721580	0.030429	2118
MurrayLake-23	Cocl23	Cisco-10	0.121310	0.027241	1325
MurrayLake-23	Cisco-59	Cisco-10	0.005900	0.002813	1708
MurrayLake-23	Cisco-90	Cisco-10	0.607020	0.012290	8890
MurrayLake-23	Cisco-12	Cisco-10	0.724680	0.011409	14279
MurrayLake-23	Cisco-18	Cisco-10	0.110390	0.029269	507
MurrayLake-23	Cisco-20	Cisco-10	0.183810	0.035971	515
MurrayLake-23	Cisco-18	Cisco-10	0.142610	0.028850	947
MurrayLake-23	Cisco-17	Cisco-10	0.771440	0.026626	2562
NorthLake-30	Sfo8-Low	Sfo8-Upp	0.244500	0.030885	1553
NorthLake-30	Sfo8-Low	Bwf-1	0.172990	0.022022	4825
NorthLake-30	Sfo8-Upp	Bwf-1	1.000000	0.000000	2150
NorthLake-30	Sfo8-Low	Bwf-2	0.931530	0.008879	7246
NorthLake-30	Sfo8-Upp	Bwf-2	0.872520	0.017874	3654
NorthLake-30	Bwf-1	Bwf-2	0.669900	0.018217	8813
NorthLake-30	Sfo8-Low	C2-157	0.110700	0.021610	2241
NorthLake-30	Sfo8-Upp	C2-157	0.028220	0.015086	707
NorthLake-30	Bwf-1	C2-157	0.739320	0.026392	3167
NorthLake-30	Bwf-2	C2-157	0.114430	0.01
