Site	Loc1	Loc2	P.Value	SE	switches
BrownsLake-31	Cisco-59	Cisco-20	0.220410	0.014204	8385
BrownsLake-31	Cisco-90	Cisco-20	No	contingency	table
BrownsLake-31	Cisco-12	Cisco-20	No	contingency	table
BrownsLake-31	Cisco-18	Cisco-20	1.000000	0.000000	730
BrownsLake-31	Sfo8-Low	Cisco-18	0.070460	0.009986	6698
BrownsLake-31	Sfo8-Upp	Cisco-18	0.454080	0.024561	4570
BrownsLake-31	Bwf-1	Cisco-18	0.425550	0.011392	21843
BrownsLake-31	Bwf-2	Cisco-18	0.110150	0.006793	14804
BrownsLake-31	C2-157	Cisco-18	0.409350	0.019764	5036
BrownsLake-31	Cocl23	Cisco-18	0.167390	0.010689	12070
BrownsLake-31	Cisco-59	Cisco-18	0.686970	0.012226	10592
BrownsLake-31	Cisco-90	Cisco-18	No	contingency	table
BrownsLake-31	Cisco-12	Cisco-18	No	contingency	table
BrownsLake-31	Cisco-18	Cisco-18	0.436610	0.042252	959
BrownsLake-31	Cisco-20	Cisco-18	0.956370	0.015079	1852
BrownsLake-31	Sfo8-Low	Cisco-17	0.223190	0.008423	9273
BrownsLake-31	Sfo8-Upp	Cisco-17	0.195950	0.008915	7573
BrownsLake-31	Bwf-1	Cisco-17	0.209110	0.004020	28415
BrownsLake-31	Bwf-2	Cisco-17	0.748620	0.004491	17174
BrownsLake-31	C2-157	Cisco-17	0.725190	0.010808	6648
BrownsLake-31	Cocl23	Cisco-17	1.000000	0.000000	15621
BrownsLake-31	Cisco-59	Cisco-17	0.418360	0.006799	12645
BrownsLake-31	Cisco-90	Cisco-17	No	contingency	table
BrownsLake-31	Cisco-12	Cisco-17	No	contingency	table
BrownsLake-31	Cisco-18	Cisco-17	0.593620	0.027222	3717
BrownsLake-31	Cisco-20	Cisco-17	0.584470	0.018951	4652
BrownsLake-31	Cisco-18	Cisco-17	0.837510	0.009540	5789
BrownsLake-31	Sfo8-Low	Cisco-10	0.684830	0.026234	3315
BrownsLake-31	Sfo8-Upp	Cisco-10	0.574830	0.037317	2157
BrownsLake-31	Bwf-1	Cisco-10	0.186380	0.011632	13529
BrownsLake-31	Bwf-2	Cisco-10	0.494360	0.016123	8898
BrownsLake-31	C2-157	Cisco-10	0.505340	0.029112	2726
BrownsLake-31	Cocl23	Cisco-10	0.175780	0.014903	6938
BrownsLake-31	Cisco-59	Cisco-10	0.590780	0.019702	6440
BrownsLake-31	Cisco-90	Cisco-10	No	contingency	table
BrownsLake-31	Cisco-12	Cisco-10	No	contingency	table
BrownsLake-31	Cisco-18	Cisco-10	1.000000	0.000000	343
BrownsLake-31	Cisco-20	Cisco-10	1.000000	0.000000	759
BrownsLake-31	Cisco-18	Cisco-10	0.265630	0.037298	1011
BrownsLake-31	Cisco-17	Cisco-10	0.735950	0.016876	3823
ElkLake-30	Sfo8-Low	Sfo8-Upp	0.448840	0.043343	1038
ElkLake-30	Sfo8-Low	Bwf-1	0.389330	0.030021	2130
ElkLake-30	Sfo8-Upp	Bwf-1	0.725130	0.035445	1307
ElkLake-30	Sfo8-Low	Bwf-2	0.299200	0.024326	3770
ElkLake-30	Sfo8-Upp	Bwf-2	0.834170	0.022572	2150
ElkLake-30	Bwf-1	Bwf-2	0.193840	0.023033	3041
ElkLake-30	Sfo8-Low	C2-157	0.971940	0.008756	2335
ElkLake-30	Sfo8-Upp	C2-157	1.000000	0.000000	1226
ElkLake-30	Bwf-1	C2-157	0.162690	0.025080	2335
ElkLake-30	Bwf-2	C2-157	0.983840	0.004290	3595
ElkLake-30	Sfo8-Low	Cocl23	0.215180	0.030077	1711
ElkLake-30	Sfo8-Upp	Cocl23	1.000000	0.000000	979
ElkLake-30	Bwf-1	Cocl23	0.717870	0.028815	2089
ElkLake-30	Bwf-2	Cocl23	0.472800	0.027091	3068
ElkLake-30	C2-157	Cocl23	0.973220	0.009516	1924
ElkLake-30	Sfo8-Low	Cisco-59	0.484500	0.044001	899
ElkLake-30	Sfo8-Upp	Cisco-59	1.000000	0.000000	454
ElkLake-30	Bwf-1	Cisco-59	0.463970	0.040890	1160
ElkLake-30	Bwf-2	Cisco-59	0.787690	0.025294	2030
ElkLake-30	C2-157	Cisco-59	0.459600	0.041964	1231
ElkLake-30	Cocl23	Cisco-59	0.254950	0.036936	781
ElkLake-30	Sfo8-Low	Cisco-90	0.987260	0.003425	6404
ElkLake-30	Sfo8-Upp	Cisco-90	0.930770	0.010484	4253
ElkLake-30	Bwf-1	Cisco-90	0.615080	0.022678	5154
ElkLake-30	Bwf-2	Cisco-90	0.713660	0.016028	7185
ElkLake-30	C2-157	Cisco-90	0.200880	0.016236	6599
ElkLake-30	Cocl23	Cisco-90	0.112290	0.015602	4658
ElkLake-30	Cisco-59	Cisco-90	0.678860	0.023815	4025
ElkLake-30	Sfo8-Low	Cisco-12	0.465190	0.012863	10294
ElkLake-30	Sfo8-Upp	Cisco-12	0.215260	0.014510	7884
ElkLake-30	Bwf-1	Cisco-12	0.954480	0.006105	8298
ElkLake-30	Bwf-2	Cisco-12	0.653880	0.010257	10758
ElkLake-30	C2-157	Cisco-12	0.363010	0.012391	10764
ElkLake-30	Cocl23	Cisco-12	0.457820	0.015152	8278
ElkLake-30	Cisco-59	Cisco-12	0.973610	0.003818	7699
ElkLake-30	Cisco-90	Cisco-12	0.252420	0.007695	14449
ElkLake-30	Sfo8-Low	Cisco-18	No	information
ElkLake-30	Sfo8-Upp	Cisco-18	No	information
ElkLake-30	Bwf-1	Cisco-18	No	information
ElkLake-30	Bwf-2	Cisco-18	No	information
ElkLake-30	C2-157	Cisco-18	No	information
ElkLake-30	Cocl23	Cisco-18	No	information
ElkLake-30	Cisco-59	Cisco-18	No	information
ElkLake-30	Cisco-90	Cisco-18	No	information
ElkLake-30	Cisco-12	Cisco-18	No	information
ElkLake-30	Sfo8-Low	Cisco-20	1.000000	0.000000	918
ElkLake-30	Sfo8-Upp	Cisco-20	1.000000	0.000000	363
ElkLake-30	Bwf-1	Cisco-20	0.084920	0.021853	1111
ElkLake-30	Bwf-2	Cisco-20	1.000000	0.000000	1770
ElkLake-30	C2-157	Cisco-20	1.000000	0.000000	1035
ElkLake-30	Cocl23	Cisco-20	0.503840	0.043784	827
ElkLake-30	Cisco-59	Cisco-20	1.000000	0.000000	379
ElkLake-30	Cisco-90	Cisco-20	0.987530	0.003737	3783
ElkLake-30	Cisco-12	Cisco-20	0.950950	0.007724	7313
ElkLake-30	Cisco-18	Cisco-20	No	information
ElkLake-30	Sfo8-Low	Cisco-18	0.621630	0.035823	1892
ElkLake-30	Sfo8-Upp	Cisco-18	0.926240	0.021312	994
ElkLake-30	Bwf-1	Cisco-18	0.051690	0.015176	1835
ElkLake-30	Bwf-2	Cisco-18	0.730960	0.029623	2946
ElkLake-30	C2-157	Cisco-18	0.007210	0.003447	2097
ElkLake-30	Cocl23	Cisco-18	0.757550	0.032044	1811
ElkLake-30	Cisco-59	Cisco-18	0.649120	0.040024	962
ElkLake-30	Cisco-90	Cisco-18	0.419060	0.022714	5293
ElkLake-30	Cisco-12	Cisco-18	0.342560	0.014750	8843
ElkLake-30	Cisco-18	Cisco-18	No	information
ElkLake-30	Cisco-20	Cisco-18	0.792250	0.034275	890
ElkLake-30	Sfo8-Low	Cisco-17	0.867580	0.024843	1652
ElkLake-30	Sfo8-Upp	Cisco-17	0.370020	0.042994	793
